id,name,brand,model,year,trim,full_option,specs,category,image_filename
car_136,كيا بيجاس 2026,كيا,بيجاس,2026,LX,ستاندر,سعودي · 1.4 لتر 4 سلندر · 95 حصان · دفع أمامي · 5 ركاب · سيدان صغير,popular,kia_pegas_2026_lx.jpg
car_137,نيسان صني 2026,نيسان,صني,2026,S,ستاندر,سعودي · 1.6 لتر 4 سلندر · 118 حصان · دفع أمامي · 5 ركاب · سيدان صغير,popular,nissan_sunny_2026_s.jpg
car_138,سوزوكي دزاير 2026,سوزوكي,دزاير,2026,GLX,ستاندر,سعودي · 1.2 لتر 4 سلندر · 89 حصان · دفع أمامي · 5 ركاب · سيدان صغير,popular,suzuki_dzire_2026_glx.jpg
car_139,جي إم سي هامر EV 2026,جي إم سي,هامر EV,2026,Edition 1,فل كامل,أمريكي · كهربائية ثلاثية · 1000 حصان · دفع رباعي · 5 ركاب · بيك أب كهربائي,wildcard,gmc_hummer_ev_2026_edition_1.jpg
car_140,مرسيدس أكتروس 2026,مرسيدس,أكتروس,2026,1845,ستاندر,أوروبي · 12.8 لتر ديزل · 450 حصان · دفع خلفي · 2 ركاب · شاحنة تريلا,wildcard,mercedes_benz_actros_2026_1845.jpg
car_141,تويوتا كوستر 2026,تويوتا,كوستر,2026,GX,ستاندر,سعودي · 4.0 لتر V6 · 228 حصان · دفع خلفي · 22 ركاب · باص,wildcard,toyota_coaster_2026_gx.jpg
car_142,جيب جلادييتر 2026,جيب,جلادييتر,2026,Rubicon,فل كامل,أمريكي · 3.6 لتر V6 · 285 حصان · دفع رباعي · 5 ركاب · بيك أب,wildcard,jeep_gladiator_2026_rubicon.jpg
car_143,تويوتا شاص ونش 2026,تويوتا,شاص ونش,2026,LX,ستاندر,سعودي · 4.5 لتر V8 ديزل · 202 حصان · دفع رباعي · 2 ركاب · بيك أب صحراوي,wildcard,toyota_land_cruiser_79_2026_lx.jpg
car_144,نيسان سفاري 2026,نيسان,سفاري,2026,Super Safari,ستاندر,سعودي · 4.8 لتر 6 سلندر · 280 حصان · دفع رباعي · 5 ركاب · جيب صحراوي,wildcard,nissan_patrol_safari_2026_super_safari.jpg
car_145,بولاريس RZR Pro R 2026,بولاريس,RZR Pro R,2026,Ultimate,فل كامل,أمريكي · 2.0 لتر 4 سلندر · 225 حصان · دفع رباعي · 2 ركاب · بقي رملي,wildcard,polaris_rzr_pro_r_2026_ultimate.jpg
car_146,تويوتا FJ كروزر 2023,تويوتا,FJ كروزر,2023,GXR,فل كامل,سعودي · 4.0 لتر V6 · 271 حصان · دفع رباعي · 5 ركاب · جيب متوسط,wildcard,toyota_fj_cruiser_2023_gxr.jpg
car_147,كان أم مافريك X3 2026,كان أم,مافريك X3,2026,X RS,فل كامل,أمريكي · 900 سي سي تيربو · 200 حصان · دفع رباعي · 2 ركاب · بقي رملي,wildcard,can_am_maverick_x3_2026_x_rs.jpg
car_148,دوكاتي بانيجالي V4 2026,دوكاتي,بانيجالي V4,2026,V4 S,فل كامل,أوروبي · 1103 سي سي V4 · 216 حصان · دفع خلفي · 2 ركاب · دراجة نارية,wildcard,ducati_panigale_v4_2026_v4_s.jpg
car_149,هارلي ديفيدسون رود جلايد 2026,هارلي ديفيدسون,رود جلايد,2026,Road Glide,فل كامل,أمريكي · 1923 سي سي · 105 حصان · دفع خلفي · 2 ركاب · دراجة نارية,wildcard,harley_davidson_road_glide_2026_road_glide.jpg
car_150,إيسوزو NPR دينا 2026,إيسوزو,NPR دينا,2026,Standard,ستاندر,سعودي · 5.2 لتر ديزل · 190 حصان · دفع خلفي · 3 ركاب · دينا نقل,wildcard,isuzu_npr_2026_standard.jpg
car_151,تويوتا بريوس 2026,تويوتا,بريوس,2026,XLE,نص فل,سعودي · 2.0 لتر هايبرد · 196 حصان · دفع أمامي · 5 ركاب · سيدان هايبرد,wildcard,toyota_prius_2026_xle.jpg
car_152,هارلي ديفيدسون فات بوي 2026,هارلي ديفيدسون,فات بوي,2026,114,فل كامل,أمريكي · 1868 سي سي توين كام · 94 حصان · دفع خلفي · 2 ركاب · دراجة نارية,wildcard,harley_davidson_fat_boy_114_2026_114.jpg
car_153,سوزوكي جيمني 2026,سوزوكي,جيمني,2026,GLX 5 أبواب,نص فل,سعودي · 1.5 لتر 4 سلندر · 103 حصان · دفع رباعي · 4 ركاب · جيب صغير,wildcard,suzuki_jimny_2026_glx_5.jpg
car_154,بي إم دبليو R 1300 GS 2026,بي إم دبليو,R 1300 GS,2026,Adventure,فل كامل,أوروبي · 1300 سي سي بوكسر · 145 حصان · دفع خلفي · 2 ركاب · دراجة نارية,wildcard,bmw_r_1300_gs_2026_adventure.jpg
